Player,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,Team Wins,Overall Seed,All-Star
Javonte Green\greenja02,CHI,65,23.4,7.2,4.2,0.9,1,0.5,0.542,0.356,0.833,4.4,0.139,0.8,0.1,46,6,0
D'Angelo Russell\russeda01,MIN,65,32,18.1,3.3,7.1,1,0.3,0.411,0.34,0.825,4.4,0.101,1.4,0.8,46,7,0
Pat Connaughton\connapa01,MIL,65,26,9.9,4.2,1.3,0.9,0.2,0.458,0.395,0.833,4.4,0.125,1.4,1.2,51,3,0
Jae Crowder\crowdja01,PHO,67,28.1,9.4,5.3,1.9,1.4,0.4,0.399,0.348,0.789,4.3,0.11,1.5,1.1,64,1,0
Anthony Edwards\edwaran01,MIN,72,34.3,21.3,4.8,3.8,1.5,0.6,0.441,0.357,0.786,4.3,0.084,2,1.2,46,7,0
John Konchar\konchjo01,MEM,72,17.9,4.8,4.6,1.5,0.6,0.3,0.515,0.413,0.551,4.2,0.155,1.2,1.5,56,2,0
Grayson Allen\allengr01,MIL,66,27.3,11.1,3.4,1.5,0.7,0.3,0.448,0.409,0.865,4.2,0.11,1.1,0.5,51,3,0
Isaac Okoro\okorois01,CLE,67,29.6,8.8,3,1.8,0.8,0.3,0.48,0.35,0.768,4.2,0.103,0.1,-1.7,44,8,0
Immanuel Quickley\quickim01,NYK,78,23.1,11.3,3.2,3.5,0.7,0,0.392,0.346,0.881,4.2,0.113,1,0.2,37,11,0
Onyeka Okongwu\okongon01,ATL,48,20.7,8.2,5.9,1.1,0.6,1.3,0.69,,0.727,4.2,0.202,0.7,0.8,43,9,0
Seth Curry\curryse01,PHI,45,34.8,15,3.4,4,0.8,0.2,0.485,0.4,0.877,4.2,0.095,0.8,-0.6,51,4,0
Seth Curry\curryse01,TOT,64,33.4,15,3.1,3.6,0.8,0.2,0.487,0.422,0.872,4.2,0.095,0.8,-0.6,,,0
Spencer Dinwiddie\dinwisp01,TOT,67,29.6,13.7,4.2,5.2,0.7,0.2,0.416,0.339,0.774,4.1,0.098,1.1,0.3,,,0
Patrick Beverley\beverpa01,MIN,58,25.4,9.2,4.1,4.6,1.2,0.9,0.406,0.343,0.722,4.1,0.132,1.7,2.7,46,7,0
Spencer Dinwiddie\dinwisp01,WAS,44,30.2,12.6,4.7,5.8,0.6,0.2,0.376,0.31,0.811,4.1,0.098,1.1,0.3,35,12,0
Tyrese Haliburton\halibty01,SAC,51,34.5,14.3,3.9,7.4,1.7,0.7,0.457,0.413,0.837,4,0.109,2,2.6,30,12,0
Tyrese Haliburton\halibty01,TOT,77,35,15.3,4,8.2,1.7,0.6,0.473,0.414,0.842,4,0.109,2,2.6,,,0
Saddiq Bey\beysa01,DET,82,33,16.1,5.4,2.8,0.9,0.2,0.396,0.346,0.827,4,0.071,1.2,-0.3,23,14,0
Franz Wagner\wagnefr01,ORL,79,30.7,15.2,4.5,2.9,0.9,0.4,0.468,0.354,0.863,4,0.079,0.8,-0.7,22,15,0
Caleb Martin\martica02,MIA,60,22.9,9.2,3.8,1.1,1,0.5,0.507,0.413,0.763,4,0.139,1.1,1.1,53,1,0
Jeff Green\greenje02,DEN,75,24.7,10.3,3.1,1.3,0.4,0.4,0.524,0.315,0.833,3.9,0.101,-0.2,-2.5,48,6,0
Obi Toppin\toppiob01,NYK,72,17.1,9,3.7,1.1,0.3,0.5,0.531,0.308,0.758,3.9,0.153,1.2,2,37,11,0
Brandon Ingram\ingrabr01,NOP,55,34,22.7,5.8,5.6,0.6,0.5,0.461,0.327,0.826,3.9,0.099,1.9,2,36,9,0
